22
1,BAS1106,2020,1,31,100,20,1
2,BAS1106,2020,1,31,100,20,1
3,BAS1122,2021,1,15,100,20,0
5,BAS1122,2021,2,16,100,20,0
8,BAS1124,2022,1,10,100,20,0
9,BAS1124,2022,2,10,100,20,0
10,BAS1124,2022,2,13,100,20,0
21,BAS1106,2020,1,10,100,20,0
22,BAS1106,2020,2,10,100,20,0
23,TEL1401,2021,1,10,100,20,0
24,TEL1401,2021,2,10,100,20,0
30,INT1306,2021,1,10,100,20,0
31,INT1306,2021,2,10,100,20,0
32,INT1306,2021,1,12,100,20,0
33,BAS1201,2022,2,10,100,20,0
34,BAS1203,2022,2,10,100,20,0
35,ELE1433,2022,2,10,100,20,0
36,INT1154,2022,2,10,100,20,0
37,INT1528,2022,2,10,100,20,0
38,SKD1101,2022,2,10,100,20,0
39,SKD1102,2022,2,10,100,20,0
40,BAS1106,2022,2,10,100,20,0
